0,1
$:,negative
%-),negative
)':,negative
)-':,negative
)-:,negative
)-:<,negative
)-:{,negative
):,negative
):<,negative
):{,negative
);<,negative
.-:,negative
..###-:,negative
..###:,negative
/-:,negative
/:,negative
/:<,negative
/^:,negative
/o:,negative
0-|,negative
182,negative
187,negative
3:(,negative
3:-(,negative
3:-),negative
4col,negative
4q,negative
86,negative
:###..,negative
:'(,negative
:'-(,negative
:(,negative
:-###..,negative
:-(,negative
:-/,negative
:-<,negative
:-[,negative
:-c,negative
:-||,negative
:/,negative
:<,negative
:?c,negative
:@,negative
:l,negative
:p,negative
:s,negative
:[,negative
:\,negative
:^/,negative
:^\,negative
:^|,negative
:c,negative
:o/,negative
:o\,negative
:{,negative
;-),negative
</3,negative
<:-|,negative
=/,negative
=l,negative
=\,negative
>-:,negative
>.<,negative
>:,negative
>:(,negative
>:-(,negative
>:/,negative
>:o,negative
>:p,negative
>:[,negative
>:\,negative
>;(,negative
@:,negative
afu,negative
atab,negative
awol,negative
ayor,negative
bfd,negative
bfe,negative
bffn,negative
bsod,negative
btd,negative
cwot,negative
d-':,negative
d8,negative
d:,negative
d:<,negative
d;,negative
d=,negative
doa,negative
dx,negative
fcol,negative
ffs,negative
fkm,negative
fu,negative
fubar,negative
j/w,negative
jhomf,negative
jj,negative
jealz,negative
kia,negative
mia,negative
mofo,negative
mubar,negative
nfc,negative
nfw,negative
nimy,negative
nitl,negative
nme,negative
o-|,negative
pita,negative
po,negative
pu,negative
qq,negative
s:,negative
sapfu,negative
smh,negative
snafu,negative
sob,negative
wp,negative
wtf,negative
wth,negative
zzz,negative
[;,negative
\-:,negative
\:,negative
\:<,negative
\=,negative
\^:,negative
\o:,negative
]-:,negative
]:,negative
]:<,negative
^urs,negative
abandon,negative
abandoned,negative
abandoner,negative
abandoners,negative
abandoning,negative
abandonment,negative
abandonments,negative
abandons,negative
abducted,negative
abduction,negative
abductions,negative
abhor,negative
abhorred,negative
abhorrent,negative
abhors,negative
abilities,negative
absentee,negative
abuse,negative
abused,negative
abuser,negative
abusers,negative
abuses,negative
abusing,negative
abusive,negative
abusively,negative
abusiveness,negative
abusivenesses,negative
accident,negative
accidentally,negative
accidents,negative
accusation,negative
accusations,negative
accused,negative
accuses,negative
ache,negative
ached,negative
aches,negative
aching,negative
acquitted,negative
acrimonious,negative
admonished,negative
adorning,negative
advanced,negative
advantage,negative
adversarial,negative
adversaries,negative
adversative,negative
adversatives,negative
adverse,negative
adversities,negative
adversity,negative
affectionless,negative
afflicted,negative
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggress,negative
aggressed,negative
aggression,negative
aggressions,negative
aggressively,negative
aggressiveness,negative
aggressivities,negative
aghast,negative
agitate,negative
agitated,negative
agitatedly,negative
agitates,negative
agitating,negative
agitation,negative
agitational,negative
agitations,negative
agitative,negative
agitator,negative
agitators,negative
agonise,negative
agonised,negative
agonises,negative
agonising,negative
agonize,negative
agonized,negative
agonizes,negative
agonizing,negative
agonizingly,negative
agony,negative
alarm,negative
alarmed,negative
alarmingly,negative
alarmists,negative
alarms,negative
alas,negative
alienation,negative
allergic,negative
alone,negative
alright,negative
amazonstone,negative
amoral,negative
amoralities,negative
amorality,negative
amorally,negative
amoristic,negative
amort,negative
anger,negative
angered,negative
angering,negative
angerly,negative
angers,negative
angrier,negative
angriest,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
anguished,negative
anguishes,negative
anguishing,negative
animosity,negative
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoyer,negative
annoyers,negative
annoying,negative
annoys,negative
antagonism,negative
antagonisms,negative
antagonist,negative
antagonistic,negative
antagonistically,negative
antagonists,negative
antagonize,negative
antagonized,negative
antagonizing,negative
anti,negative
anxious,negative
anxiousness,negative
apathetic,negative
apathy,negative
apocalyptic,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
appalls,negative
appeasing,negative
apprehension,negative
arguable,negative
arguably,negative
argue,negative
argued,negative
arguer,negative
arguers,negative
argues,negative
arguing,negative
argument,negative
argumentative,negative
argumentatively,negative
argumentive,negative
arguments,negative
arrest,negative
arrested,negative
arrests,negative
arrogance,negative
arrogances,negative
arrogant,negative
arrogantly,negative
ashamed,negative
ashamedly,negative
ass,negative
assassination,negative
assassinations,negative
assault,negative
assaulted,negative
assaulting,negative
assaultive,negative
assaults,negative
assfucking,negative
assholes,negative
attack,negative
attacked,negative
attacker,negative
attackers,negative
attacking,negative
attacks,negative
aversion,negative
aversions,negative
aversive,negative
avoid,negative
avoidance,negative
avoidances,negative
avoided,negative
avoider,negative
avoiders,negative
avoiding,negative
awful,negative
awkwardly,negative
axed,negative
bad,negative
badly,negative
bamboozle,negative
bamboozled,negative
bamboozles,negative
ban,negative
banish,negative
bankrupt,negative
bankster,negative
banned,negative
bastard,negative
bastardies,negative
bastardise,negative
bastardised,negative
bastardises,negative
bastardising,negative
bastardization,negative
bastardizations,negative
bastardize,negative
bastardized,negative
bastardizes,negative
bastardizing,negative
bastardly,negative
bastards,negative
bastardy,negative
battle,negative
battled,negative
battlefield,negative
battlefront,negative
battleground,negative
battles,negative
battling,negative
beaten,negative
beating,negative
belittle,negative
belittled,negative
beneficiate,negative
bereave,negative
bereaved,negative
bereaves,negative
bereaving,negative
betray,negative
betrayal,negative
betrayed,negative
betraying,negative
betrays,negative
biased,negative
bitch,negative
bitched,negative
bitcheries,negative
bitchery,negative
bitches,negative
bitchier,negative
bitchiest,negative
bitchily,negative
bitchiness,negative
bitching,negative
bitchy,negative
bitter,negative
bittered,negative
bitterer,negative
bitterest,negative
bittering,negative
bitterish,negative
bitterly,negative
bitterness,negative
bizarre,negative
blamable,negative
blamably,negative
blame,negative
blamed,negative
blameful,negative
blamefully,negative
blamer,negative
blamers,negative
blames,negative
blameworthiness,negative
blameworthy,negative
blaming,negative
blind,negative
block,negative
blocked,negative
blocking,negative
bloody,negative
bomb,negative
bore,negative
bored,negative
boredom,negative
boredoms,negative
borers,negative
bores,negative
boresome,negative
boring,negative
bother,negative
botheration,negative
botherations,negative
bothered,negative
bothering,negative
bothersome,negative
boycott,negative
boycotted,negative
boycotting,negative
boycotts,negative
brainwashing,negative
brightener,negative
brighteners,negative
broke,negative
broken,negative
brutal,negative
brutalise,negative
brutalised,negative
brutalises,negative
brutalising,negative
brutalities,negative
brutality,negative
brutalization,negative
brutalizations,negative
brutalize,negative
brutalized,negative
brutalizes,negative
brutalizing,negative
brutally,negative
bullied,negative
bullshit,negative
bully,negative
bullying,negative
bummer,negative
burden,negative
burdened,negative
burdener,negative
burdeners,negative
