0,1
( '}{' ),positive
('-:,positive
(':,positive
((-:,positive
(*,positive
(-*,positive
(-:,positive
(-:0,positive
(-:o,positive
(-:O,positive
(-:|>*,positive
(-;,positive
(-;|,positive
(8,positive
(:,positive
(:0,positive
(:o,positive
(:O,positive
(;,positive
(=,positive
(?:,positive
(^:,positive
(^;,positive
(^;0,positive
(^;o,positive
(o:,positive
*-:,positive
*-;,positive
*:,positive
*<|:-),positive
*\0/*,positive
*^:,positive
",-:",positive
---'-;-{@,positive
--<--<@,positive
0:),positive
0:-),positive
0:-3,positive
0:03,positive
0;^),positive
10q,positive
1337,positive
143,positive
1432,positive
14aa41,positive
2g2b4g,positive
2qt,positive
5fs,positive
8),positive
8-d,positive
8d,positive
:'),positive
:'-),positive
:),positive
:*,positive
:-),positive
:-)),positive
:-*,positive
":-,",positive
:-d,positive
:-D,positive
:-p,positive
:-p,positive
:3,positive
:>,positive
:?),positive
:d,positive
:D,positive
:],positive
:^),positive
:^*,positive
:c),positive
:o),positive
:P,positive
:},positive
:Þ,positive
;-*,positive
;^),positive
<3,positive
<:,positive
=),positive
=-3,positive
=-d,positive
=-D,positive
=3,positive
=d,positive
=D,positive
=],positive
=p,positive
>_>^,positive
@>-->--,positive
@}-;-'---,positive
aas,positive
aayf,positive
alol,positive
ambw,positive
aml,positive
bff,positive
bl,positive
b^d,positive
ez,positive
fav,positive
ff,positive
foaf,positive
ftw,positive
fwb,positive
g1,positive
gg,positive
gga,positive
gj,positive
gl,positive
gla,positive
gn,positive
gr8,positive
gt,positive
h&k,positive
hagd,positive
hagn,positive
hago,positive
hak,positive
hand,positive
heart,positive
hearts,positive
hho1/2k,positive
hhoj,positive
hugz,positive
hi5,positive
ilu,positive
iluaaf,positive
ily,positive
ily2,positive
iyq,positive
j/j,positive
j/k,positive
j/p,positive
j4f,positive
j4g,positive
jw,positive
k4y,positive
kfy,positive
kk,positive
kmuf,positive
l,positive
l&r,positive
laoj,positive
lmao,positive
lmbao,positive
lmfao,positive
lmso,positive
lol,positive
lolz,positive
lts,positive
ly,positive
ly4e,positive
lya,positive
lyb,positive
lyl,positive
lylab,positive
lylas,positive
lylb,positive
m8,positive
mml,positive
muah,positive
mwah,positive
n1,positive
nbd,positive
nh,positive
np,positive
ntmu,positive
o:),positive
o:-),positive
o:-3,positive
o:3,positive
o;^),positive
ok,positive
ptl,positive
qt,positive
r&r,positive
rofl,positive
roflmao,positive
rotfl,positive
rotflmao,positive
rotflmfao,positive
rotflol,positive
rotgl,positive
rotglmao,positive
sete,positive
sfete,positive
sgtm,positive
slaw,positive
swak,positive
tgif,positive
thks,positive
thx,positive
tia,positive
tnx,positive
true,positive
tx,positive
txs,positive
ty,positive
tyvm,positive
urw,positive
vbg,positive
vbs,positive
vip,positive
vwd,positive
vwp,positive
wd,positive
wtg,positive
x-d,positive
x-p,positive
xd,positive
xlnt,positive
xoxo,positive
xoxozzz,positive
xp,positive
xqzt,positive
yolo,positive
yvw,positive
yw,positive
ywia,positive
[:,positive
[=,positive
\o/,positive
^<_<,positive
ability,positive
absolve,positive
absolved,positive
absolves,positive
absolving,positive
accept,positive
acceptabilities,positive
acceptability,positive
acceptable,positive
acceptableness,positive
acceptably,positive
acceptance,positive
acceptances,positive
acceptant,positive
acceptation,positive
accepted,positive
accepting,positive
accepts,positive
accomplish,positive
accomplished,positive
accomplishes,positive
achievable,positive
acquitting,positive
active,positive
actively,positive
actives,positive
admirability,positive
admirable,positive
admirableness,positive
admirably,positive
admiral,positive
admirals,positive
admiralties,positive
admiralty,positive
admiration,positive
admirations,positive
admire,positive
admired,positive
admirer,positive
admirers,positive
admires,positive
admiring,positive
admiringly,positive
admits,positive
adorability,positive
adorable,positive
adorableness,positive
adorably,positive
adoration,positive
adorations,positive
adore,positive
adored,positive
adorer,positive
adorers,positive
adores,positive
adoring,positive
adoringly,positive
adorner,positive
adornment,positive
advantaged,positive
advantageous,positive
advantageously,positive
advantageousness,positive
advantages,positive
advantaging,positive
adventure,positive
adventured,positive
adventurer,positive
adventures,positive
adventuresome,positive
adventuresomeness,positive
adventuresses,positive
adventuring,positive
adventurism,positive
adventurist,positive
adventuristic,positive
adventurists,positive
adventurous,positive
adventurously,positive
adventurousness,positive
affection,positive
affectional,positive
affectionally,positive
affectionate,positive
affectionately,positive
affectioned,positive
affections,positive
agog,positive
agree,positive
agreeability,positive
agreeable,positive
agreeableness,positive
agreeablenesses,positive
agreeably,positive
agreed,positive
agreeing,positive
agreement,positive
agreements,positive
alert,positive
alive,positive
amaze,positive
amazed,positive
amazedly,positive
amazement,positive
amazements,positive
amazes,positive
amazing,positive
ambitious,positive
amor,positive
amorino,positive
amorist,positive
amoroso,positive
amorous,positive
amorously,positive
amorousness,positive
amuse,positive
amused,positive
amusedly,positive
amusement,positive
amusements,positive
amuser,positive
amusers,positive
amuses,positive
amusing,positive
amusingness,positive
amusive,positive
aok,positive
apologise,positive
apologized,positive
apologizes,positive
appease,positive
applaud,positive
applauded,positive
applauding,positive
applauds,positive
applause,positive
appreciate,positive
appreciated,positive
appreciates,positive
appreciating,positive
appreciation,positive
appreciations,positive
appreciative,positive
appreciatively,positive
appreciativeness,positive
appreciator,positive
appreciators,positive
appreciatory,positive
apprehensible,positive
approval,positive
approved,positive
approves,positive
ardent,positive
asset,positive
assurance,positive
assurances,positive
assure,positive
assured,positive
assuredly,positive
assuredness,positive
assurers,positive
assures,positive
assurgent,positive
assuring,positive
astonished,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astounds,positive
attachment,positive
attachments,positive
attract,positive
attractant,positive
attractants,positive
attracted,positive
attracting,positive
attraction,positive
attractions,positive
attractive,positive
attractively,positive
attractiveness,positive
attractivenesses,positive
attractor,positive
attractors,positive
attracts,positive
avid,positive
award,positive
awardable,positive
awarded,positive
awardee,positive
awardees,positive
awarders,positive
awarding,positive
awards,positive
awesome,positive
badass,positive
beatific,positive
beaut,positive
beauteous,positive
beauteously,positive
beauteousness,positive
beautician,positive
beauties,positive
beautification,positive
beautifications,positive
beautified,positive
beautifier,positive
beautifiers,positive
beautifies,positive
beautiful,positive
beautifuler,positive
beautifulest,positive
beautifully,positive
beautifulness,positive
beautify,positive
beautifying,positive
beauts,positive
beauty,positive
beloved,positive
benefic,positive
beneficed,positive
beneficence,positive
beneficences,positive
beneficent,positive
beneficently,positive
benefices,positive
beneficial,positive
beneficially,positive
beneficialness,positive
beneficiaries,positive
beneficiary,positive
benefit,positive
benefits,positive
benefitted,positive
benefitting,positive
benevolence,positive
benevolences,positive
benevolent,positive
benevolently,positive
benevolentness,positive
benign,positive
benignant,positive
benignantly,positive
benignity,positive
best,positive
better,positive
bless,positive
blessed,positive
blesseder,positive
blessedest,positive
blessedly,positive
blessedness,positive
blesser,positive
blessers,positive
blesses,positive
blessing,positive
blessings,positive
bliss,positive
blissful,positive
blithe,positive
blockbuster,positive
bold,positive
bolder,positive
boldest,positive
boldly,positive
boldness,positive
bolds,positive
bonus,positive
bonuses,positive
boost,positive
boosted,positive
boosting,positive
boosts,positive
brave,positive
braved,positive
bravely,positive
braver,positive
braveries,positive
bravery,positive
braves,positive
bravest,positive
breathtaking,positive
bright,positive
brighten,positive
brightened,positive
brightening,positive
brightens,positive
brighter,positive
brightest,positive
brightly,positive
brightness,positive
brightnesses,positive
brightwork,positive
brilliance,positive
brilliances,positive
brilliancies,positive
brilliancy,positive
brilliant,positive
brilliantines,positive
brilliantly,positive
brilliants,positive
bwahahah,positive
calm,positive
calmative,positive
calmed,positive
calmer,positive
calmest,positive
calming,positive
calmly,positive
calmness,positive
calmnesses,positive
calms,positive
capable,positive
captivated,positive
care,positive
cared,positive
carefree,positive
carefulness,positive
cares,positive
caring,positive
celebrate,positive
celebrated,positive
celebrates,positive
celebrating,positive
certain,positive
certainly,positive
champ,positive
champagne,positive
champion,positive
championed,positive
championing,positive
champions,positive
championship,positive
championships,positive
champs,positive
charitable,positive
charitableness,positive
charitablenesses,positive
charitably,positive
charities,positive
charity,positive
charm,positive
charmed,positive
charmer,positive
charmers,positive
charming,positive
charminger,positive
charmingest,positive
charmingly,positive
charms,positive
cheer,positive
cheered,positive
cheerer,positive
cheerers,positive
cheerful,positive
cheerfuller,positive
cheerfullest,positive
cheerfully,positive
cheerfulness,positive
cheerier,positive
cheeriest,positive
cheerily,positive
cheeriness,positive
cheering,positive
cheerio,positive
cheerlead,positive
cheerleaders,positive
cheerleading,positive
cheerleads,positive
cheerled,positive
cheerly,positive
cheers,positive
cheery,positive
cherish,positive
cherishable,positive
cherished,positive
cherisher,positive
cherishers,positive
cherishes,positive
cherishing,positive
chic,positive
chuckle,positive
chuckled,positive
chucklers,positive
chuckles,positive
chucklesome,positive
chuckling,positive
chucklingly,positive
clarity,positive
classy,positive
clean,positive
clear,positive
clearly,positive
clever,positive
cleverer,positive
cleverest,positive
cleverly,positive
cleverness,positive
clevernesses,positive
comedian,positive
comedians,positive
comedic,positive
comedically,positive
comediennes,positive
comedies,positive
comedy,positive
comfort,positive
comfortable,positive
comfortableness,positive
comfortably,positive
comforted,positive
comforter,positive
comforters,positive
comforting,positive
comfortingly,positive
comforts,positive
commend,positive
commended,positive
commit,positive
commitment,positive
committed,positive
compassion,positive
compassionate,positive
compassionated,positive
compassionately,positive
compassionates,positive
compassionating,positive
competent,positive
compliment,positive
complimentarily,positive
complimentary,positive
complimented,positive
complimenting,positive
compliments,positive
conciliated,positive
conciliates,positive
conciliating,positive
confidence,positive
confident,positive
confidently,positive
congrats,positive
congratulate,positive
